Sentence,Sentences,Tag
1,"Milly 24 SLICES CHEESE SLICES Net Weight : 480 g 0.53 KB / S "" Suggested Serving ony 26 ",B-BRAND O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O 
2,SPICED BUTTERMILK 9.00 Ne l 26 ) 2pcs Amu . ( 1L ) MAST A5 MAST KB / S ,B-PRODUCT I-PRODUCT O O O O O O B-BRAND I-BRAND O O O O O O O O O 
3,Partly Skimmed Fruit Yogurt epigamia eplgmia 11.0 Ne l 25 ) KB / S HIGH PROTEIN GREEK YOGURT alphonso mango ZERO RESERNVATINE ,O O O B-PRODUCT B-BRAND O O O O O O O O O O O O O O O O O 
4,modeRn moder DeRn Omilk plus bread W 's Co pach is pa calcium power of 2thi 1alas 16.0 Ye l 25 KB / S ,O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O 
5,"BAREVR 2 iDY PANEER SOFT & CREAMYC FROM NATURAL INGREDIENTS MADE WITH LEMON CONCENTRATE Ã˜ ) NO ADOED PRESERVATIVES NOT SYNTHETIC ACIDS GCONGITIONSwe EEED wONOSATURATO FATTY ACI ANSAA YADOS THS PACK CoNTAINS 4 SERVINGS NUTNTIONAL FACTS PER 100 WPOK ) ) PREMIUM INGREDIENTS D OPEy 754 OSTOCARE DETAS OFRES FO00 Sie AVALA VLA KASARA NOL ATTIELE FSSAL LIC NO , 10021043000120 Www.oFREO0D RESHFOOD.COM SURVEY NO . 21/0 , NCHOLVLAGE , NEAR IOUANEWAL FSSAL LIC . NO 10018022008962 NET QUANTITY USE BY DATE ONLOF ALL TAXES 12.0 N KB / S 200 o Ssai A ) PASTEURISED MILK 8 li906020580572 Lie . No . 10021043000120 OTHER MADE IN INDIA 2Pcs 25 ( 200 g ) FANEER ",O O B-BRAND B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BRAND O O O O O O B-PRODUCT O O O O O O O O B-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT 
6,SUPER SAVER PACK ( OBN -ZIP LOCK SINCE 1906 * CORN FLAKES ORIGINAL 109 Ne KB / S ENERGYAT 3 HOURS IRON SHAKTI 25 ,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O 
7,"GUINOA Due Elementy READY - TO - COOK BREAKFAST QUINOA GLUTEN FREE & 100 % WHOLEGRAIN HIGH PROTEIN | HIGH FIBRE Every product has a story , flip to know ours . 141 Ye KB / S 25 ",B-BRAND O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
8,Bagrry 's WITH CRANBERRIES 30 % CRUNCHY- FRUIT & NÅ²T muesli EXOTIC FRUITS & NUTS Bagy FRUIT Ná»¤T 9 OTS & G34 % FIBRE RICH OATS NO ADDED PRESERVATIVES Bagy 16.0 50 KB / S GENDARY OF LEGEND 25 ,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
9,"BagÂ«y . wHEY PROTEIN Bagrry 's . WHEY PROTEIN 09 CHOCOLATE WITH ALMONDS ESSSENTIAL AMINO ACIDS STEIN . muesli . PER SERY , 15 NO ADDED PRESERVATIVES Bageys 23.0 KB / S PROTEIN 100 % WHEY GOLD STANDARD 50 GOODNESS SLÄ® MAS 25 ",O O B-PRODUCT I-PRODUCT B-BRAND I-BRAND O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-BRAND O O O O O O O 
10,ORIGINAL MYFITNESS PEANUT BUTTER pink kimalayan salt 100 Ye l brown sugarCRUNCHY KB / S HYFITNESS Net Weight:510 g Images usad for Ã¤lustrative purpese only www.myfitness.co.in BUTER 25 2pcs ( 510 g ) ) ,O B-BRAND B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O B-BRAND B-PRODUCT O O O O O O O 
